epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1646.38,1.15379,1.1431,1.12401,0.50744,0.46706,0.45853,0.25956,1.85069,1.85812,1.72665,0.0006535,0.0006535,0.0006535
72,1670.09,1.13004,1.14628,1.1518,0.45551,0.55016,0.47432,0.27353,1.79993,1.79986,1.7069,0.00064855,0.00064855,0.00064855
73,1693.2,1.10064,1.16231,1.1078,0.51661,0.52155,0.48501,0.27986,1.80891,1.78538,1.72162,0.0006436,0.0006436,0.0006436
74,1716.15,1.14801,1.17841,1.18661,0.50276,0.51067,0.48847,0.27563,1.8459,1.83641,1.76689,0.00063865,0.00063865,0.00063865
75,1737.97,1.16546,1.17345,1.21039,0.49687,0.51831,0.48824,0.27261,1.86605,1.85542,1.76194,0.0006337,0.0006337,0.0006337
76,1760.08,1.12361,1.12385,1.10535,0.47885,0.50288,0.47343,0.26469,1.839,1.84081,1.74734,0.00062875,0.00062875,0.00062875
77,1781.89,1.10664,1.08374,1.123,0.47978,0.51765,0.47023,0.26695,1.8366,1.84521,1.75365,0.0006238,0.0006238,0.0006238
78,1803.71,1.09676,1.1176,1.119,0.44306,0.53432,0.46595,0.25463,1.86026,1.89827,1.7946,0.00061885,0.00061885,0.00061885
79,1826.89,1.08744,1.0535,1.10583,0.41481,0.54178,0.44425,0.2522,1.89775,1.91822,1.81748,0.0006139,0.0006139,0.0006139
80,1849.83,1.06873,1.02828,1.1097,0.37836,0.54637,0.42961,0.24504,1.91489,1.92057,1.81235,0.00060895,0.00060895,0.00060895
81,1873.17,1.0543,1.04348,1.10006,0.36189,0.53604,0.42661,0.24262,1.89729,1.86184,1.80907,0.000604,0.000604,0.000604
82,1894.83,1.12601,1.15294,1.16867,0.38108,0.52547,0.42902,0.24236,1.91831,1.89056,1.82086,0.00059905,0.00059905,0.00059905
83,1916.57,1.05844,1.02271,1.09495,0.38604,0.48816,0.43895,0.2461,1.91107,1.92627,1.78647,0.0005941,0.0005941,0.0005941
84,1938.42,1.05236,1.02768,1.09009,0.40887,0.50455,0.43508,0.24456,1.92219,1.94006,1.77656,0.00058915,0.00058915,0.00058915
85,1960.5,1.01961,1.02946,1.11936,0.4482,0.47491,0.44868,0.24944,1.92441,1.93436,1.78746,0.0005842,0.0005842,0.0005842
86,1982.69,1.05084,0.99877,1.09581,0.47614,0.53755,0.45941,0.2598,1.83539,1.8723,1.75245,0.00057925,0.00057925,0.00057925
87,2006.12,1.05037,1.00126,1.07334,0.48594,0.47066,0.46012,0.25887,1.87694,1.87301,1.80972,0.0005743,0.0005743,0.0005743
88,2028.25,1.05191,1.01373,1.11196,0.45486,0.4879,0.45633,0.25645,1.8692,1.89797,1.79912,0.00056935,0.00056935,0.00056935
89,2050.84,1.05166,1.01366,1.12821,0.45857,0.46685,0.43899,0.25813,1.85564,1.99867,1.76324,0.0005644,0.0005644,0.0005644
90,2072.73,1.02829,1.00305,1.09753,0.44712,0.45665,0.43647,0.25074,1.90335,2.00631,1.77071,0.00055945,0.00055945,0.00055945
91,2095.42,1.01695,0.9827,1.06502,0.43464,0.43694,0.41878,0.23443,1.95642,1.9714,1.8082,0.0005545,0.0005545,0.0005545
92,2118.39,1.00087,0.96409,1.06116,0.43868,0.40988,0.41384,0.2403,1.97819,2.03174,1.83507,0.00054955,0.00054955,0.00054955
93,2140.99,0.98484,0.94752,1.03255,0.4677,0.40547,0.39821,0.23319,1.94926,2.0001,1.8219,0.0005446,0.0005446,0.0005446
94,2164.72,0.98869,0.91185,1.06684,0.51416,0.4074,0.41955,0.23717,1.92132,1.96621,1.81686,0.00053965,0.00053965,0.00053965
95,2187.24,1.00242,0.92957,1.03839,0.3882,0.50776,0.44118,0.24191,1.96066,1.94871,1.84277,0.0005347,0.0005347,0.0005347
96,2210.5,0.97876,0.94457,1.0526,0.42343,0.48319,0.43944,0.2463,1.95931,1.947,1.84265,0.00052975,0.00052975,0.00052975
97,2233.42,0.99632,0.95598,1.06547,0.43119,0.48331,0.44062,0.25088,1.91774,1.96532,1.83533,0.0005248,0.0005248,0.0005248
98,2256.83,1.01766,0.95785,1.1044,0.44573,0.51016,0.44709,0.25317,1.91104,1.97919,1.83372,0.00051985,0.00051985,0.00051985
99,2278.85,1.03762,0.99902,1.09229,0.43878,0.54308,0.44408,0.24849,1.9451,1.97933,1.853,0.0005149,0.0005149,0.0005149
100,2301.22,1.04379,0.95982,1.07102,0.4301,0.48081,0.45824,0.24869,1.94577,1.92637,1.84611,0.00050995,0.00050995,0.00050995
101,2324.08,0.97895,0.94118,1.05171,0.42497,0.49683,0.44687,0.25126,1.93356,1.95074,1.84588,0.000505,0.000505,0.000505
102,2346.19,1.05503,1.00291,1.19325,0.43092,0.49063,0.42904,0.243,1.93417,1.96829,1.8541,0.00050005,0.00050005,0.00050005
103,2368.08,1.0269,0.95509,1.09088,0.39561,0.48337,0.43157,0.24087,1.95237,2.02752,1.858,0.0004951,0.0004951,0.0004951
104,2390.41,0.96875,0.92688,1.08711,0.42687,0.45368,0.44341,0.25195,1.92243,2.0278,1.84211,0.00049015,0.00049015,0.00049015
105,2412.76,0.99962,0.95214,1.11084,0.44507,0.45298,0.43783,0.24599,1.90974,2.00763,1.83105,0.0004852,0.0004852,0.0004852
106,2434.98,0.99288,0.92013,1.04323,0.48149,0.44485,0.4342,0.24446,1.88916,2.0245,1.81788,0.00048025,0.00048025,0.00048025
107,2457.34,1.00421,0.93002,1.07779,0.4488,0.4819,0.43078,0.24085,1.86265,2.04677,1.82418,0.0004753,0.0004753,0.0004753
108,2479.24,0.994,0.88011,1.03748,0.46331,0.43152,0.42022,0.24382,1.85924,1.98253,1.81505,0.00047035,0.00047035,0.00047035
109,2501.34,1.00913,0.92731,1.04748,0.44566,0.44258,0.42877,0.24855,1.85057,1.95113,1.80103,0.0004654,0.0004654,0.0004654
110,2523.67,0.9761,0.87051,1.04038,0.45382,0.46783,0.42583,0.2398,1.83249,2.0009,1.80592,0.00046045,0.00046045,0.00046045
111,2545.84,0.95477,0.9125,1.08176,0.42281,0.46007,0.41996,0.24564,1.82234,2.02237,1.79806,0.0004555,0.0004555,0.0004555
112,2567.78,1.00439,0.9312,1.07102,0.37969,0.46299,0.41388,0.24483,1.81115,2.01235,1.79318,0.00045055,0.00045055,0.00045055
113,2590.17,0.99625,0.92869,1.04248,0.45625,0.43176,0.42074,0.24975,1.81846,2.02596,1.80073,0.0004456,0.0004456,0.0004456
114,2612.03,1.07155,0.99269,1.15315,0.48042,0.40696,0.4061,0.24453,1.83612,2.03222,1.81439,0.00044065,0.00044065,0.00044065
115,2635.52,0.99316,0.91921,1.05898,0.44908,0.4306,0.40861,0.23926,1.87452,2.00542,1.83782,0.0004357,0.0004357,0.0004357
116,2657.02,0.93572,0.86826,1.049,0.52272,0.42303,0.40255,0.23191,1.86758,2.11123,1.80889,0.00043075,0.00043075,0.00043075
117,2678.81,0.94015,0.86062,1.03896,0.4798,0.4534,0.41296,0.23414,1.84691,2.14347,1.7957,0.0004258,0.0004258,0.0004258
118,2701.51,0.93082,0.92537,1.02438,0.43468,0.46603,0.41077,0.23005,1.89184,2.12029,1.81071,0.00042085,0.00042085,0.00042085
